מזהה,סוג,"מק""ט",Name,Categories,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של  המבצע,תאריך סיום של  המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה, מבצע, רגיל,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 ערכים,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים
1481,simple,,צלחות קרטון בצורת לב ורוד מטאלי מסיבתה,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17.9,,,,,,,,,,,,384,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1482,simple,,צלחות קרטון ורוד מטאלי כהה עגולות גדולות מסיבתה,ורוד מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17.9,,,,,,,,,,,,385,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1483,simple,,תכלת מטאלי,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,386,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1484,simple,,צלחות מתומן תכלת מטאלי קטנות מסיבתה,תכלת מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,387,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1485,simple,,צלחות מתומן תכלת מטאלי גדולות מסיבתה,תכלת מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17.9,,,,,,,,,,,,388,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1486,simple,,צלחות לב תכלת מטאלי קטנות,תכלת מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,17.9,,,,,,,,,,,,389,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1487,simple,,כוסות קרטון תכלת מטאלי מסיבתה,תכלת מטאלי,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,11.9,,,,,,,,,,,,390,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1488,simple,,EMOJI COLLECTION,,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,391,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1489,simple,,צלחות קרטון עגולות גדולות PARTY TIME תכלת ורוד,EMOJI COLLECTION,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10.9,,,,,,,,,,,,392,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
1490,simple,,צלחות קרטון עגולות גדולות Lets calebrite ירוק חאקי וזהב ,EMOJI COLLECTION,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10.9,,,,,,,,,,,,393,"{""total"":0,""to_translate"":{""en"":4,""he"":4}}",1,1,,,,,,,,
