מזהה,סוג,"מק""ט",Name,פורסם,האם מומלץ?,נראות בקטלוג,תיאור קצר,תיאור,תאריך התחלה של מחיר המבצע,תאריך סיום של מחיר המבצע,Tax status,סוג מס,במלאי?,מלאי,כמות של מלאי מועט,לאפשר הזמנות מראש?,נמכר בנפרד?,משקל (kg),אורך (cm),רוחב (cm),גובה (cm),לאפשר חוות דעת של לקוחות?,הערת רכישה,מחיר מבצע,מחיר רגיל,Categories,תגיות,Shipping class,תמונות,הגבלת הורדות,ימים שנותרו לתוקף ההורדה,אב,מוצרים מקובצים,מוצרים משודרגים,מוצרים משלימים,URL חיצוני,טקסט כפתור,מיקום,שיוך 1 שמות,שיוך 1 ערכים,שיוך 1 פריטים מוצגים,שיוך 1 פריטים גלובליים,שיוך 2 שמות,שיוך 2 ערכים,שיוך 2 פריטים מוצגים,שיוך 2 פריטים גלובליים,כלים: _wp_page_template,כלים: _wpml_word_count,כלים: _wpml_media_featured,כלים: _wpml_media_duplicate
9322,simple,413873,מפיות גיוס קל,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,10,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,20,1,1,גודל,33*33,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9323,simple,413874,צלחות צבאי גיוס נעים,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,18,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,8יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9324,simple,413875,טופרים גיוס נעים,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,11.9,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,12יח,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9325,simple,413876,שלט גיוס קל,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,6,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,1,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9326,simple,413877,בצק סוכר ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,23,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,1,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9327,simple,413878,בצק סוכר כחול,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,9,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,150גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9328,simple,413879,בצק סוכר ירוק,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,9,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,150גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9329,simple,413880,בצק סוכר צהוב,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,9,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,150גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9330,simple,413881,בצק סוכר אדום,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,9,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,150גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9331,simple,413882,בצק סוכר ורוד,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,9,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,150גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9332,simple,413883,בצק סוכר שחור,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,9,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,150גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9333,simple,413884,בצק סוכר לבן,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,13,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,250גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9334,simple,413885,בצק סוכר לבן,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,25,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,600גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9335,simple,413886,בצק סוכר לבן ,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,31,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,1קילו,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9336,simple,413887,תערובת להכנת מרנג,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,25,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,100גרם,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9337,simple,413888,חבילת מרציפן צבעוני,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,16,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9338,simple,413889,חבילת מרציפן,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,79,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,1קילו,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9339,simple,413890,בהצלחה לחייל מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,23,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9340,simple,413891,בהצלחה לחיילת מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,23,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9341,simple,413892,שלט עגול מזל טוב מבצק סוכר- כחול,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,23,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9342,simple,413893,שלט עגול מזל טוב מבצק סוכר- ורוד,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,23,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9343,simple,413894,שלט מרובע יום הולדת שמח מבצק סוכר-כחול,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,23,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9344,simple,413895,שלט מרובע יום הולדת שמח מבצק סוכר-ורוד,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,23,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9345,simple,413896,שלט יום הולדת שמח מבצק סוכר-כחול,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,18,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9346,simple,413897,שלט יום הולדת שמח מבצק סוכר-ורוד,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,18,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9347,simple,413898,שלט מזל טוב מבצק סוכר-כחול,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,18,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9348,simple,413899,שלט מזל טוב מבצק סוכר-ורוד,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,18,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9349,simple,413900,יום הולדת שמח-צבעוני מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,25,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9350,simple,413901,יום הולדת שמח- כחול מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,25,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9351,simple,413902,יום הולדת שמח- ורוד מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,25,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9352,simple,413903,מזל טוב- ורוד מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,25,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9353,simple,413904,מזל טוב- כחול מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,25,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9354,simple,413905,אלף נשיקות בצורת לב מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,23,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
9355,simple,413906,דמויות וצורות מבצק סוכר,1,0,visible,,,,,none,,1,,,0,0,,,,,0,,,,אירוח לכל גיל > גיוס קל ונעים,,,https://celebrationbyorel.com/wp-content/uploads/2019/11/ORELOGO.png,,,,,,,,,0,כמות,,1,1,גודל,,1,1,default,"{""total"":26,""to_translate"":{""en"":26}}",1,1
